2025-12-17 06:43:38.496 | INFO     | __main__:<module>:20 - 🐭 INICIANDO O RATO GARIMPEIRO ENTERPRISE (Modo AMAZON/WHATSAPP)...
2025-12-17 06:43:38.894 | SUCCESS  | __main__:<module>:26 - ✅ Sistemas Core iniciados!
2025-12-17 06:43:38.894 | SUCCESS  | __main__:<module>:38 - 🐦 Twitter/X Conectado com sucesso!
2025-12-17 06:43:39.853 | INFO     | __main__:main:127 - 👀 Validando canais fonte (Este passo pode demorar alguns segundos)...
2025-12-17 06:43:40.356 | ERROR    | __main__:resolve_safe_channels:58 - ❌ Canal inválido ou não existente: @tecdicas -> IGNORADO.
2025-12-17 06:43:40.723 | ERROR    | __main__:resolve_safe_channels:58 - ❌ Canal inválido ou não existente: @ofertasdevideo -> IGNORADO.
2025-12-17 06:43:40.888 | ERROR    | __main__:resolve_safe_channels:58 - ❌ Canal inválido ou não existente: @ofertasparacasa -> IGNORADO.
2025-12-17 06:43:41.030 | ERROR    | __main__:resolve_safe_channels:58 - ❌ Canal inválido ou não existente: @livrosepromocao -> IGNORADO.
2025-12-17 06:43:41.031 | SUCCESS  | __main__:main:137 - ✅ Monitoramento iniciado com 21 canais válidos.
2025-12-17 07:00:41.158 | INFO     | __main__:processar_oferta:83 - 🚫 Link não Amazon (MERCADO LIVRE) ignorado: https://www.mercadolivre.com.br/social/promozonevip
2025-12-17 07:10:41.019 | INFO     | __main__:processar_oferta:73 - ♻️ Oferta repetida ignorada: https://www.mercadolivre.com.br/social/promozonevip
2025-12-17 07:13:40.698 | INFO     | __main__:processar_oferta:86 - 🔎 Processando: AMAZON | Modo: 🤖 AUTO
2025-12-17 07:13:41.748 | ERROR    | src.infrastructure.whatsapp_client:enviar_oferta:34 - ❌ Falha ao enviar WhatsApp (401): {"code":401,"message":"Invalid token.","data":{}}

2025-12-17 07:13:41.748 | ERROR    | __main__:processar_oferta:104 - ❌ Falha no envio da oferta Amazon via WhatsApp. Enviando backup para o Telegram 'me'.
